Title,Author,Link,Image,Category,Description,Info
"Byzantinorossica IV: Свод византийских литературных свидетельств о Руси (до XIII в.  )","Бибиков М. В.","https://www.podpisnie.ru/books/byzantinorossica-svod-vizantiyskikh-aktovykh-svidetel-stv-o-rusi-t4/","/upload/resize_cache/iblock/5ff/160_230_1/824qwmpci4tz1ab0xi52w1em4uuq9pl2.jpg","Книги о средневековье","Книга представляет собой четвертый том Свода византийских источников по истории Руси. Этот том посвящен византийским литературным памятникам — агиографическим риторическим эпистолярным мемуарным и историческим специальным трактатам (военным географическим филологическим) в которых нашли свое отражение свидетельства о Руси русско-византийских отношениях русских институтах (монастырях храмах воинском корпусе) в средневековом мире. Многие представленные в книге греческие памятники впервые переводятся на русский язык а ряд таких как греческое Житие Антония Печерского или Феодосия Печерского вообще совсем недавно введены в научный оборот и пока даже не опубликованы (издание готовится). Книга предназначена для историков филологов всех мотивированных читателей.","Автор Бибиков М. В. Издательство Изд. Дом ЯСК Год издания 2018 Переплет Твёрдый Страниц 480 Формат 148x217 мм Язык Русский ISBN 978-5-907290-54-9 Серия Studia Philologica Артикул 1189237"
"Монстры,  химеры и пришельцы в искусстве Средневековья","Салтыкова В. А.","https://www.podpisnie.ru/books/monstry-khimery-i-prishel-tsy-v-iskus/","/upload/resize_cache/iblock/9dd/160_230_1/ymx3jkg6iw86yti9rydbkdxn82w4zrgo.jpg","Книги о средневековье","Страшно интересное исследование Средневековья! «Монстры химеры и пришельцы в искусстве Средневековья» — это настоящее сокровище для всех любителей искусства и истории. Автор книги доцент высшей школы экономики и талантливый искусствовед Вероника Салтыкова предлагает нам погрузиться в мир уникальных гравюр и изображений которые полны страшных и загадочных образов того времени. Сколько голов у антихриста? Можно ли приручить сфинкса? Для чего рождаются монстры? Узнайте ответы на эти и многие другие вопросы совершив настоящее путешествие в прошлое и раскрыв магию и загадки Средневековья!","Автор Салтыкова В. А. Издательство Бомбора Год издания 2024 Переплет Твёрдый Страниц 256 Формат 150x210 мм Язык Русский ISBN 978-5-04-113344-3 Артикул 1187610"
"Средневековье.  Светское искусство XIII-XV","Акимова Т.","https://www.podpisnie.ru/books/srednevekov-e-svetskoe-iskusstvo-xiii-xv/","/upload/resize_cache/iblock/cc2/160_230_1/hab6elbrs6hquoiid9nls6uc18f8z0zq.jpg","Книги о средневековье","Книга искусствоведа Татьяны Акимовой знакомит читателя с произведениями светского искусства Западной Европы XIII–XV веков представляя огромный по масштабу но малоизвестный материал: это настенные росписи и книжные миниатюры шпалеры вышивки ювелирные украшения предметы домашнего обихода и костюма — ларцы таблички для письма футляры зеркал гребни фибулы выполненные из слоновой кости металла и дерева. Художественные памятники какими было столь богато время прекрасных дам и благородных рыцарей высоко ценивших красоту и роскошь рассматриваются в том тематическом разнообразии в котором они когда-то существовали в жилых интерьерах: в них оживали находя свое зримое воплощение герои рыцарских романов сюжеты кельтских и германских легенд поэтические аллегории куртуазной любви. Интерпретация тем и мотивов декоративного убранства замков и городских резиденций знати поможет читателю лучше понять уклад жизни людей той эпохи их представления о таких важных категориях человеческого бытия как любовь жизнь смерть время выходившие за пределы как церковной так и античной традиции. Богато иллюстрированное издание адресовано специалистам (историкам культурологам искусствоведам) а также широкому кругу читателей интересующихся культурой Средних веков.","Автор Акимова Т. Издательство Искусство — XXI век Год издания 2022 Переплет Твёрдый Страниц 336 Формат 250х280 мм Язык Русский ISBN 978-5-98051-224-8 Артикул 1160093"
"Byzantinorossica III: Свод византийских актовых свидетельств о Руси (византийские акты X- XIII вв.  )","Бибиков М. В.","https://www.podpisnie.ru/books/byzantinorossica-svod-vizantiyskikh-aktovykh-svidete/","/upload/resize_cache/iblock/568/160_230_1/77w9k3j332pv6ssudm9p19qil6rzibrg.jpg","Книги о средневековье","Настоящий том свода византийских свидетельств о Руси посвящен актам — императорским постановлениям международным договорам посланиям патриаршим распоряжениям и письмам монастырским хозяйственным землеустроительным деловым документам судебным постановлениям полемическим инвективам. Издаваемые в русском перево- де документы охватывают синхронный период истории Древнерусского государства и допалеологовской Византии то есть X–XIII вв. Многие тексты переведены впервые или представлены в новых современных авторских переводах основывающихся на новейших изданиях.","Автор Бибиков М. В. Издательство Изд. Дом ЯСК Год издания 2018 Переплет Твёрдый Страниц 304 Формат 148x217 мм Язык Русский ISBN 978-5-94457324-7 Артикул 1126739"
"Древнейшие государства Восточной Европы.  2019–2020 годы: Дипломатические практики античности и средневековья","","https://www.podpisnie.ru/books/drevneyshie-gosudarstva-vostochnoy-evropy-2019/","/upload/resize_cache/iblock/70b/160_230_1/begjhesbzwa6a10vtp5oz4od23h98fez.jpg","Книги о средневековье","Настоящий том ежегодника «Древнейшие государства Восточной Европы» посвящен исследованию дипломатических практик в различных культурах античности и средневековья. Особое внимание уделяется дипломатии Древней Руси в том числе русско-византийским договорам Х в. Рассматриваются также особенности дипломатии Византии в Кавказском регионе и тюркском мире. Ряд статей посвящен анализу источников их датировке и содержащейся в них информации. Публикуются впервые переведенные на русский язык донесения о русско-ганзейских переговорах и фрагменты сочинения Эрикуса Олаи. Часть статей написана на основе докладов прочитанных на Чтениях памяти В.Т. Пашуто посвященных столетию со дня его рождения. В их число входят и материалы рассматривающие его научное наследие. Издание рассчитано на широкий круг специалистов: антиковедов медиевистов востоковедов а также всех интересующихся историей.","Издательство Университет Дмитрия Пожарского Год издания 2020 Переплет Твёрдый Страниц 424 Язык Русский ISBN 978-5-91244-262-9 Артикул 1119437"
"На плечах гигантов.  Очерки интеллектуальной культуры западноевропейского Средневековья (XIII.  XV вв.  )","Шишков А. М.","https://www.podpisnie.ru/books/na-plechakh-gigantov-ocherki-intellektual-noy-kul-tury-zapadnoevropeyskogo-srednevekov-ya-xiii-xv-vv/","/upload/resize_cache/iblock/35d/160_230_1/e3zqrk3ru98vzh79fcodihtvfj3b17p0.jpg","Книги о средневековье","Данные очерки являются справочным изданием по истории интеллектуальной культуры Средневековья как она отразилась в трудах философов богословов и естествоиспытателей латинского Запада XIII—XV вв. Автор не только ставит перед собой цель очертить круг интеллектуальных интересов средневековых мыслителей выявить специфические особенности их жизненного пути но и стремится предоставить информацию о характере средневекового образования в целом т.е. сообщить общие сведения о монастырских и кафедральных школах как очагах средневековой ученой традиции а также об университетской культуре зрелого и позднего Средневековья. Этот том очерков снабжен списками упоминаемых в них монашеских орденов религиозных конгрегации обществ и братств (с их полными наименованиями и принятыми сокращениями) населенных пунктов (с латинскими вариантами их названий и указанием областей расположения) авторов и святых (с исходными написаниями их имен и годами жизни). Книга предназначена для студентов изучающих историю средневековой западноевропейской культуры и в частности — историю философской религиозной и политической мысли Средних веков.","Автор Шишков А. М. Издательство Центр гуманитарных инициатив Год издания 2020 Переплет Твёрдый Страниц 496 Язык Русский ISBN 978-5-98712-063-7 Артикул 1119021"
"Блудливое Средневековье.  Бытовые очерки западноевропейской культуры","Мишаненкова Е. А.","https://www.podpisnie.ru/books/bludlivoe-srednevekov-e-bytovye-ocherki/","/upload/resize_cache/iblock/a2d/160_230_1/1kfpm59h7g3myhh0s9xxpautqbpm5r7z.jpg","Книги о средневековье","Добро пожаловать в Средневековье — жестокую и веселую эпоху когда люди с одинаковым рвением молились и убивали пировали и постились грешили и каялись. Время фанатиков умирав- ших за веру Христову в Крестовых походах и лицемеров именовавших бобров рыбой чтобы их можно было есть в постные дни. В этой книге автор расскажет о том как в Средние века влюблялись и распутничали мылись и предохранялись рисовали половые органы на стенах церквей. А еще читатели узнают о том в каком возрасте выходили замуж как жили без ванны что означал супружеский долг выяснят почему ""проститутка"" лучше ""шлюхи"" и даже разберутся из- за чего развалилось обвинение в ведьмовстве против Жанны д›Арк.","Автор Мишаненкова Е. А. Издательство АСТ Год издания 2020 Переплет Твёрдый Страниц 336 Формат 165х215 мм Язык Русский ISBN 978-5-17-120009-1 Серия История и наука Рунета Артикул 1116494"
"Жизнь в средневековом Хорасане","","https://www.podpisnie.ru/books/zhizn-v-srednevekovom-khorasane/","/upload/resize_cache/iblock/d87/160_230_1/ohjahcyu8th2o72rm8sjcztcgfv8es4u.jpg","Книги о средневековье","Издание знакомит читателей с уникальным комплексом письменных памятников XI-XIII вв. – рукописными фрагментами приобретенными несколько лет назад Национальной библиотекой Израиля. Это т. н. Афганская гениза включающая сотни рукописных фрагментов из средневекового Бамиана в Хорасане (современный Афганистан) наиболее интересные из которых впервые представлены в этой книге. Среди документов – различные иудейские и мусульманские литературные памятники часть архива еврейской семьи а также другого мусульманского административного архива. Эти фрагменты указывают на образованность мусульманского населения и его тесные контакты с еврейской общиной региона.","Год издания 2019 Страниц 136 Язык Несколько языков ISBN 978-5-93572-872-4 Артикул 1115373"
"Средневековый театр и легенды средневековья","Иванов К. А.","https://www.podpisnie.ru/books/srednevekovyy-teatr-i-legendy-srednevekov-ya/","/upload/resize_cache/iblock/b7a/160_230_1/r6yzy22vsnkgnfq3z5lvqoi5ab7d5udv.jpg","Книги о средневековье","Имя Константина Алексеевича Иванова широко известно в России благодаря написанным им учебникам по древней и новейшей истории выдержавшим множество изданий. Константин Алексеевич был блестящим знатоком европейского Средневековья. До 1915 года вышли в свет 6 его книг о Средневековье: 1. «Средневековый замок и его обитатели» (1894). 2. «Средневековый город и его обитатели» (1895). 3. «Средневековый монастырь и его обитатели» (1895). 4. «Средневековая деревня и её обитатели» (1896). 5. «Трубадуры труверы и миннезингеры» (1901). 6. «Средневековое папство и его представители» (1915). Последняя книга серии изданная при жизни автора — «Средневековое папство...»— была окончена 12 августа 1915 года в Царском Селе и в том же году увидела свет. Материал о театре начал собираться К. А. Ивановым еще в период написания тесно связанной с ней тематически книги о трубадурах театр является её продолжением и неотъемлемой частью. Но темы средневекового искусства песен карнавалов звучат и в первых книгах этой серии. Книга о театре была заявлена в проекте издательства в 1916 году но не была издана очевидно из-за обстоятельств военного времени — шла Первая мировая война и был канун революционных потрясений 1917 года. Данная книга — это первое издание рукописи «Средневековый театр и легенды Средневековья» пролежавшей у потомков К. А. Иванова более 100 лет и ныне хранящейся в Музее Николаевской гимназии. Символично и то что увидит свет она в Год Театра в России.","Автор Иванов К. А. Издательство Аврора Год издания 2019 Переплет Твёрдый Страниц 288 Язык Русский ISBN 978-5-7300-0977-6 Артикул 1115335"
"Потусторонний мир Средневековья","Пильгун А.","https://www.podpisnie.ru/books/potustoronniy-mir-srednevekov-ya/","/upload/resize_cache/iblock/059/160_230_1/7g41wbaviwlogmulyajq1pxr8bzyr4xo.jpg","Книги о средневековье","Эта книга - продолжение проекта первая часть которого вышла в 2011 году под названием Вселенная Средневековья. На основе подлинных документов она рассказывает о том как люди в cредневековой Европе представляли себе рай чистилище преисподнюю и их обитателей. Книга погружает читателя в мир удивительных образов показывает красочные картины иной реальности созданной воображением людей. Автор опирается на одну из самых загадочных средневековых традиций - литературу видений рассказы о воображаемом путешествии души в мир иной. Визионеры - монахи священники рыцари крестьяне знать дети подростки - те чья душа по их собственным утверждениям на какое-то время оказалась в потустороннем наблюдали праведные и грешные души в ожидании Судного дня. Видения считались драгоценным источником сведений о судьбе умерших. Они напоминают рассказы о ""жизни после смерти"" в наши дни. Свыше 60 латинских текстов легли в основу этой книги. Детали этих рассказов поразительны: рост и возраст души; расположение глубина и дно ада соответствие наказания греху; специфика мук чистилища; что известно в мире ином о событиях на земле; истинный вид и цвет демона; почему демонов в городе горстка а на стенах монастырей - множество и др. В издание включены более четырех сотен высококачественных цветных репродукций средневековых рукописных миниатюр собранных автором в библиотеках по всему миру. Книга адресована гуманитариям различных специальностей и всем интересующимся культурой западноевропейского Средневековья историей религии философии искусства.","Автор Пильгун А. Издательство ГАММА-ПРЕСС Год издания 2019 Переплет Твёрдый Страниц 468 Формат 245х315 мм Язык Русский ISBN 978-5-9612-0070-6 Артикул 1114823"
